1|2300
14|231
15|524
25|168
56|192
58|563
73|188
99|431
142|151
144|203
168|161
179|159
227|370
254|170
259|297
274|886
281|272
297|281
326|654
334|175
335|192
346|157
348|344
357|186
372|171
411|246
429|220
430|151
435|176
436|152
465|253
528|158
534|210
543|184
544|171
649|301
764|305
823|428
961|182
971|311
1048|170
1055|230
1086|162
1108|264
1150|430
1271|223
1285|428
1304|181
1342|168
1749|314
2123|153
2292|233
1 14|171
1 15|388
1 58|438
1 73|153
1 99|321
1 144|159
1 259|230
1 274|665
1 281|195
1 297|214
1 326|512
1 335|157
1 348|248
1 411|170
1 429|156
1 435|151
1 465|185
1 649|228
1 764|245
1 823|327
1 971|228
1 1055|154
1 1108|222
1 1150|327
1 1285|320
1 1304|155
1 1749|235
1 2292|202
58 274|213
58 326|159
274 326|206
274 1285|210
1 58 274|170
1 274 326|161
1 274 1285|158
