1|2300
14|231
15|524
17|104
25|168
27|115
56|192
58|563
61|131
73|188
99|431
142|151
144|203
168|161
179|159
188|105
227|370
254|170
258|100
259|297
274|886
277|115
281|272
297|281
326|654
334|175
335|192
346|157
348|344
357|186
360|100
371|117
372|171
379|146
389|100
399|108
411|246
429|220
430|151
432|117
435|176
436|152
465|253
474|140
508|130
528|158
534|210
540|125
543|184
544|171
550|105
580|118
649|301
694|137
726|108
748|123
749|116
764|305
772|113
780|132
823|428
961|182
971|311
998|136
1010|120
1032|103
1048|170
1055|230
1065|134
1074|115
1086|162
1108|264
1124|141
1133|128
1150|430
1169|109
1192|103
1195|101
1203|116
1262|139
1271|223
1273|115
1284|106
1285|428
1293|110
1304|181
1342|168
1515|122
1569|113
1612|107
1749|314
1817|126
1821|102
1832|100
1848|102
1950|101
1961|105
1981|128
2028|129
2123|153
2292|233
2475|103
2580|130
2717|126
2733|131
2762|125
2825|131
2934|110
3815|128
3850|102
4355|121
5583|100
1 14|171
1 15|388
1 25|148
1 27|108
1 56|149
1 58|438
1 73|153
1 99|321
1 142|123
1 144|159
1 168|125
1 179|121
1 254|127
1 259|230
1 274|665
1 281|195
1 297|214
1 326|512
1 334|136
1 335|157
1 346|109
1 348|248
1 357|134
1 372|138
1 379|107
1 411|170
1 429|156
1 430|116
1 435|151
1 436|106
1 465|185
1 474|102
1 508|100
1 528|111
1 534|140
1 543|128
1 544|126
1 649|228
1 694|103
1 764|245
1 780|112
1 823|327
1 961|148
1 971|228
1 998|117
1 1010|112
1 1048|130
1 1055|154
1 1065|113
1 1074|101
1 1086|131
1 1108|222
1 1124|121
1 1150|327
1 1271|146
1 1285|320
1 1304|155
1 1342|109
1 1749|235
1 1817|109
1 1981|100
1 2123|106
1 2292|202
1 2717|102
1 2762|113
1 2825|106
1 3815|111
1 4355|114
15 58|119
15 99|133
15 326|139
15 1150|143
58 99|114
58 274|213
58 326|159
58 348|102
58 649|108
58 823|114
58 1150|100
58 1285|143
99 274|144
227 274|149
227 326|108
259 274|123
259 326|101
274 281|120
274 326|206
274 348|133
274 411|111
274 429|127
274 534|101
274 649|126
274 764|112
274 823|145
274 971|104
274 1150|139
274 1285|210
274 1304|123
326 1150|115
326 1285|138
649 1285|127
823 1285|133
1 15 99|107
1 15 326|101
1 58 274|170
1 58 326|143
1 58 1285|124
1 99 274|103
1 274 326|161
1 274 348|105
1 274 649|101
1 274 823|100
1 274 1150|110
1 274 1285|158
1 274 1304|110
1 326 1285|111
1 649 1285|108
1 823 1285|103
